rva	end_rva	owner	method	boundary_status	decompile_status	evidence
0x30e9ec8	0x30e9f9c	NoteDirectionalFlick	ExecTouchMoved	confirmed	assembly	decompiled/030e9ec8__NoteDirectionalFlick__ExecTouchMoved.arm64.tsv
0x30e9f9c	0x30ea05c	NoteDirectionalFlick	shouldJudgeDirectionalFlick	confirmed	decompiled	decompiled/030e9f9c__NoteDirectionalFlick__shouldJudgeDirectionalFlick.c
0x30ea05c	0x30ea084	NoteDirectionalFlick	judgeDirectionalFlickSucceeded	confirmed	decompiled	decompiled/030ea05c__NoteDirectionalFlick__judgeDirectionalFlickSucceeded.c
0x30ea084	0x30ea108	NoteDirectionalFlick	onFinishJudgeFrontNote	confirmed	decompiled	decompiled/030ea084__NoteDirectionalFlick__onFinishJudgeFrontNote.c
0x30eacdc	0x30ead54	NoteFlick	ExecTouchMoved	confirmed	assembly	decompiled/030eacdc__NoteFlick__ExecTouchMoved.arm64.tsv
0x30eb680	0x30eb6b0	NoteLong	ExecuteAfterUpdate	confirmed	decompiled	decompiled/030eb680__NoteLong__ExecuteAfterUpdate.c
0x30eb6b0	0x30eb7a0	NoteLong	OnUpdate	confirmed	decompiled	decompiled/030eb6b0__NoteLong__OnUpdate.c
0x30eb7a0	0x30eb8fc	NoteLong	forcePerfectOnUpdate	confirmed	decompiled	decompiled/030eb7a0__NoteLong__forcePerfectOnUpdate.c
0x30eb8fc	0x30eb97c	NoteLong	MoveState	confirmed	decompiled	decompiled/030eb8fc__NoteLong__MoveState.c
0x30eb97c	0x30eba44	NoteLong	forcePerfectMoveState	confirmed	decompiled	decompiled/030eb97c__NoteLong__forcePerfectMoveState.c
0x30eba44	0x30ebb28	NoteLong	WaitState	confirmed	decompiled	decompiled/030eba44__NoteLong__WaitState.c
0x30ebb28	0x30ebb94	NoteLong	execOverWaitState	confirmed	decompiled	decompiled/030ebb28__NoteLong__execOverWaitState.c
0x30ebb94	0x30ebcc4	NoteLong	StopState	confirmed	decompiled	decompiled/030ebb94__NoteLong__StopState.c
0x30ebcc4	0x30ebd98	NoteLong	execOverStopState	confirmed	decompiled	decompiled/030ebcc4__NoteLong__execOverStopState.c
0x30ed020	0x30ed070	NoteLong	onMiss	confirmed	decompiled	decompiled/030ed020__NoteLong__onMiss.c
0x321ba18	0x321bb1c	NoteSlide	OnUpdate	confirmed	decompiled	decompiled/0321ba18__NoteSlide__OnUpdate.c
0x321bb1c	0x321bd94	NoteSlide	slidingMove	confirmed	decompiled	decompiled/0321bb1c__NoteSlide__slidingMove.c
0x321bd94	0x321bfd4	NoteSlide	forcePerfectOnUpdate	confirmed	decompiled	decompiled/0321bd94__NoteSlide__forcePerfectOnUpdate.c
0x321bfd4	0x321c1cc	NoteSlide	MoveState	confirmed	decompiled	decompiled/0321bfd4__NoteSlide__MoveState.c
0x321c1cc	0x321c2d0	NoteSlide	forcePerfectMoveState	confirmed	decompiled	decompiled/0321c1cc__NoteSlide__forcePerfectMoveState.c
0x321c2d0	0x321c4e4	NoteSlide	WaitState	confirmed	decompiled	decompiled/0321c2d0__NoteSlide__WaitState.c
0x321c4e4	0x321c558	NoteSlide	execOverWaitState	confirmed	decompiled	decompiled/0321c4e4__NoteSlide__execOverWaitState.c
0x321c558	0x321c810	NoteSlide	StopState	confirmed	decompiled	decompiled/0321c558__NoteSlide__StopState.c
0x321c810	0x321c948	NoteSlide	forcePerfectStopState	confirmed	decompiled	decompiled/0321c810__NoteSlide__forcePerfectStopState.c
0x321fd04	0x321fdbc	NoteSlide	killFromInvisibleNotesToVisibleNote	confirmed	decompiled	decompiled/0321fd04__NoteSlide__killFromInvisibleNotesToVisibleNote.c
0x321fdbc	0x321fe40	NoteSlide	ExecuteAfterUpdate	confirmed	decompiled	decompiled/0321fdbc__NoteSlide__ExecuteAfterUpdate.c
0x322012c	0x322028c	NoteSlide	RefreshAfterMoveTime	confirmed	decompiled	decompiled/0322012c__NoteSlide__RefreshAfterMoveTime.c
0x322028c	0x3220338	NoteSlide	refreshTargetButton	confirmed	decompiled	decompiled/0322028c__NoteSlide__refreshTargetButton.c
0x3220338	0x3220408	NoteSlide	onMissAfterNote	confirmed	decompiled	decompiled/03220338__NoteSlide__onMissAfterNote.c
