rva	end_rva	owner	method	boundary_status	decompile_status	evidence
0x367e500	0x367e694	MusicScoreBezierConverter	Convert	confirmed	assembly_fallback	decompiled/0367e500__MusicScoreBezierConverter__Convert.arm64.tsv
0x367e694	0x367fadc	MusicScoreBezierConverter	convertBezierMultiNotes	confirmed	decompiled	decompiled/0367e694__MusicScoreBezierConverter__convertBezierMultiNotes.c
0x367fadc	0x36806b8	MusicScoreBezierConverter	convertBezier	confirmed	decompiled	decompiled/0367fadc__MusicScoreBezierConverter__convertBezier.c
0x36806b8	0x36807dc	MusicScoreBezierConverter	IsSlideANote	confirmed	decompiled	decompiled/036806b8__MusicScoreBezierConverter__IsSlideANote.c
0x36807dc	0x36808d0	MusicScoreBezierConverter	IsContGroupA	confirmed	decompiled	decompiled/036807dc__MusicScoreBezierConverter__IsContGroupA.c
0x36808d0	0x36809f4	MusicScoreBezierConverter	IsSlideBNote	confirmed	decompiled	decompiled/036808d0__MusicScoreBezierConverter__IsSlideBNote.c
0x36809f4	0x3680ae8	MusicScoreBezierConverter	IsContGroupB	confirmed	decompiled	decompiled/036809f4__MusicScoreBezierConverter__IsContGroupB.c
0x3680ae8	0x3680dd8	MusicScoreBezierConverter	SortForceCont	confirmed	decompiled	decompiled/03680ae8__MusicScoreBezierConverter__SortForceCont.c
0x3680dd8	0x3681158	MusicScoreBezierConverter	createDefaultNotes	confirmed	decompiled	decompiled/03680dd8__MusicScoreBezierConverter__createDefaultNotes.c
0x3681158	0x36824a4	MusicScoreBezierConverter	createBezierNotes(List)	confirmed	decompiled	decompiled/03681158__MusicScoreBezierConverter__createBezierNotesFromList.c
0x36824a4	0x36828bc	MusicScoreBezierConverter	margeTempGroupList	confirmed	decompiled	decompiled/036824a4__MusicScoreBezierConverter__margeTempGroupList.c
0x36828bc	0x3682ebc	MusicScoreBezierConverter	convertToMusicScoreLines	confirmed	decompiled	decompiled/036828bc__MusicScoreBezierConverter__convertToMusicScoreLines.c
0x3682ebc	0x3682f60	MusicScoreBezierConverter	IsForceFrontNote	confirmed	decompiled	decompiled/03682ebc__MusicScoreBezierConverter__IsForceFrontNote.c
0x3682f60	0x36830f4	MusicScoreBezierConverter	IsControlNote	confirmed	decompiled	decompiled/03682f60__MusicScoreBezierConverter__IsControlNote.c
0x36830f4	0x3683450	MusicScoreBezierConverter	createBezierNotes(start,control,end)	confirmed	decompiled	decompiled/036830f4__MusicScoreBezierConverter__createBezierNotesFromTriple.c
0x3683450	0x3683624	MusicScoreBezierConverter	GenerateWavKey	confirmed	decompiled	decompiled/03683450__MusicScoreBezierConverter__GenerateWavKey.c
0x3683624	0x368380c	MusicScoreBezierConverter	replaceWavName	confirmed	decompiled	decompiled/03683624__MusicScoreBezierConverter__replaceWavName.c
0x368380c	0x3683848	MusicScoreBezierConverter	IsForceNote	confirmed	decompiled	decompiled/0368380c__MusicScoreBezierConverter__IsForceNote.c
0x3683848	0x36838ec	MusicScoreBezierConverter	IsForceBackNote	confirmed	decompiled	decompiled/03683848__MusicScoreBezierConverter__IsForceBackNote.c
0x36838ec	0x36838f4	MusicScoreBezierConverter	.ctor	confirmed	decompiled	decompiled/036838ec__MusicScoreBezierConverter__ctor.c
0x376d58c	0x376d594	MusicScoreHeaderParser	get_WavFileNames	confirmed	decompiled	decompiled_header/0376d58c__MusicScoreHeaderParser__get_WavFileNames.c
0x376d594	0x376d59c	MusicScoreHeaderParser	get_AdditiveWavFileNames	confirmed	decompiled	decompiled_header/0376d594__MusicScoreHeaderParser__get_AdditiveWavFileNames.c
0x376d59c	0x376d5a4	MusicScoreHeaderParser	get_IsMultiRange	confirmed	decompiled	decompiled_header/0376d59c__MusicScoreHeaderParser__get_IsMultiRange.c
0x376d5a4	0x376d5b0	MusicScoreHeaderParser	set_IsMultiRange	confirmed	decompiled	decompiled_header/0376d5a4__MusicScoreHeaderParser__set_IsMultiRange.c
0x376d5b0	0x376d684	MusicScoreHeaderParser	GetFileName	confirmed	decompiled	decompiled_header/0376d5b0__MusicScoreHeaderParser__GetFileName.c
0x376d684	0x376d730	MusicScoreHeaderParser	.ctor	confirmed	decompiled	decompiled_header/0376d684__MusicScoreHeaderParser__ctor.c
0x376d730	0x376d7cc	MusicScoreHeaderParser	AddWav	confirmed	decompiled	decompiled_header/0376d730__MusicScoreHeaderParser__AddWav.c
0x376d7cc	0x376ddac	MusicScoreHeaderParser	ReParse	confirmed	decompiled	decompiled_header/0376d7cc__MusicScoreHeaderParser__ReParse.c
0x376ddac	0x376e0b0	MusicScoreHeaderParser	IsExistContKey	confirmed	decompiled	decompiled_header/0376ddac__MusicScoreHeaderParser__IsExistContKey.c
0x376e0b0	0x376e364	MusicScoreHeaderParser	Parse	confirmed	decompiled	decompiled_header/0376e0b0__MusicScoreHeaderParser__Parse.c
0x331e4ac	0x331e544	MusicScoreParseUtility	IsMusicScoreLine	confirmed	decompiled	decompiled_text/0331e4ac__MusicScoreParseUtility__IsMusicScoreLine.c
0x331e544	0x331e610	MusicScoreParseUtility	GetBarNumber	confirmed	decompiled	decompiled_text/0331e544__MusicScoreParseUtility__GetBarNumber.c
0x331e610	0x331e688	MusicScoreParseUtility	GetAbsolutePos	confirmed	decompiled	decompiled_text/0331e610__MusicScoreParseUtility__GetAbsolutePos.c
0x331e688	0x331e8fc	MusicScoreParseUtility	GetAllNoteData	confirmed	decompiled	decompiled_text/0331e688__MusicScoreParseUtility__GetAllNoteData.c
0x376e364	0x376e36c	NoteData	get_AbsolutePos	confirmed	decompiled	decompiled_text/0376e364__NoteData__get_AbsolutePos.c
0x376e36c	0x376e374	NoteData	get_NoteId	confirmed	decompiled	decompiled_text/0376e36c__NoteData__get_NoteId.c
0x376e374	0x376e37c	NoteData	get_LaneIdStr	confirmed	decompiled	decompiled_text/0376e374__NoteData__get_LaneIdStr.c
0x376e37c	0x376e384	NoteData	get_LaneId	confirmed	decompiled	decompiled_text/0376e37c__NoteData__get_LaneId.c
0x376e384	0x376e38c	NoteData	get_BarNumber	confirmed	decompiled	decompiled_text/0376e384__NoteData__get_BarNumber.c
0x376e38c	0x376e414	NoteData	get_LineInfo	confirmed	decompiled	decompiled_text/0376e38c__NoteData__get_LineInfo.c
0x376e414	0x376e41c	NoteData	get_Denominator	confirmed	decompiled	decompiled_text/0376e414__NoteData__get_Denominator.c
0x376e41c	0x376e614	NoteData	.ctor	confirmed	decompiled	decompiled_text/0376e41c__NoteData__ctor.c
0x376e614	0x376e638	NoteData	getLaneNumber	confirmed	decompiled	decompiled_text/0376e614__NoteData__getLaneNumber.c
0x376e638	0x376e664	NoteData.NoteCompare	.ctor	confirmed	decompiled	decompiled_text/0376e638__NoteDataNoteCompare__ctor.c
0x376e664	0x376e73c	NoteData.NoteCompare	Compare	confirmed	decompiled	decompiled_text/0376e664__NoteDataNoteCompare__Compare.c
