rva	end_rva	owner	method	boundary_status	decompile_status	evidence
0x30eb300	0x30eb508	NoteLong	Activate	confirmed	decompiled	decompiled/030eb300__NoteLong__Activate.c
0x321ae58	0x321b418	NoteSlide	Activate	confirmed	decompiled	decompiled/0321ae58__NoteSlide__Activate.c
0x3304444	0x33044b4	InGameMusicScoreController	get_LauncherMusicPos	confirmed	decompiled	decompiled/03304444__InGameMusicScoreController__get_LauncherMusicPos.c
0x33044d4	0x3304544	InGameMusicScoreController	get_MusicPos	confirmed	decompiled	decompiled/033044d4__InGameMusicScoreController__get_MusicPos.c
0x3304770	0x330491c	InGameMusicScoreController	UpdateMusicScoreProgress	confirmed	decompiled	decompiled/03304770__InGameMusicScoreController__UpdateMusicScoreProgress.c
0x330491c	0x3304928	InGameMusicScoreController	UpdateBPM	confirmed	decompiled	decompiled/0330491c__InGameMusicScoreController__UpdateBPM.c
0x3776028	0x37760c0	NoteUtility	GetNoteArrivalSeconds	confirmed	decompiled	decompiled/03776028__NoteUtility__GetNoteArrivalSeconds.c
0x37760c0	0x377644c	NoteManager	ExecUpdate	confirmed	decompiled	decompiled/037760c0__NoteManager__ExecUpdate.c
0x3776a00	0x3776a54	NoteManager	GetAdjustMusicPos	confirmed	decompiled	decompiled/03776a00__NoteManager__GetAdjustMusicPos.c
0x377c7c8	0x377ca18	NoteManager	FastAbsolutePos	confirmed	decompiled	decompiled/0377c7c8__NoteManager__FastAbsolutePos.c
0x377ca18	0x377ca28	NoteUtility	GetBarSeconds	confirmed	decompiled	decompiled/0377ca18__NoteUtility__GetBarSeconds.c
0x377ca28	0x377cc28	NoteManager	SlowAbsolutePos	confirmed	decompiled	decompiled/0377ca28__NoteManager__SlowAbsolutePos.c
0x3a74e5c	0x3a74ec8	NoteBase	ChangeState	confirmed	decompiled	decompiled/03a74e5c__NoteBase__ChangeState.c
0x3a76840	0x3a768f0	NoteBase	ExecuteUpdate	confirmed	decompiled	decompiled/03a76840__NoteBase__ExecuteUpdate.c
0x3a768f0	0x3a76974	NoteBase	ExecuteAfterUpdate	confirmed	decompiled	decompiled/03a768f0__NoteBase__ExecuteAfterUpdate.c
