target_rva	target_end_rva	owner	method	signature_unchanged	target_size	differing_words	non_pc_relative_differing_words	evidence	status
0x3882170	0x38822BC	ButtonManager	GetButton	true	332	14	4	arm64/03882170__ButtonManager__GetButton.arm64.tsv	mapped
0x38824E0	0x3882704	ButtonManager	GetPlayButton	true	548	20	4	arm64/038824e0__ButtonManager__GetPlayButton.arm64.tsv	mapped
0x3883858	0x38839B4	ButtonManager	calcNearestButton	true	348	24	9	arm64/03883858__ButtonManager__calcNearestButton.arm64.tsv	mapped
0x38839B4	0x3883B28	ButtonManager	calcSecondNearButton	true	372	24	9	arm64/038839b4__ButtonManager__calcSecondNearButton.arm64.tsv	mapped
0x3883B28	0x3883CB0	ButtonManager	calcThirdNearButton	true	392	24	9	arm64/03883b28__ButtonManager__calcThirdNearButton.arm64.tsv	mapped
0x387E7F0	0x387E9B8	GamePlayButton	.ctor	true	456	36	8	arm64/0387e7f0__GamePlayButton___ctor.arm64.tsv	mapped
0x387D064	0x387D1C8	GamePlayButton	CalculateTouchEndedJudge	true	356	15	6	arm64/0387d064__GamePlayButton__CalculateTouchEndedJudge.arm64.tsv	mapped
0x387C784	0x387CA38	GamePlayButton	ExecTouchBegan	true	692	35	14	arm64/0387c784__GamePlayButton__ExecTouchBegan.arm64.tsv	mapped
0x387CEB0	0x387CFD4	GamePlayButton	ExecTouchEnded	true	292	11	4	arm64/0387ceb0__GamePlayButton__ExecTouchEnded.arm64.tsv	mapped
0x387CD9C	0x387CEB0	GamePlayButton	ExecTouchMoved	true	276	11	4	arm64/0387cd9c__GamePlayButton__ExecTouchMoved.arm64.tsv	mapped
0x387C6E0	0x387C71C	GamePlayButton	GetTouchBeganNote	true	60	2	0	arm64/0387c6e0__GamePlayButton__GetTouchBeganNote.arm64.tsv	mapped
0x387D1C8	0x387DFD4	GamePlayButton	Setup	true	3596	250	87	arm64/0387d1c8__GamePlayButton__Setup.arm64.tsv	mapped
0x387C71C	0x387C784	GamePlayButton	setTouchBeganNote	true	104	6	0	arm64/0387c71c__GamePlayButton__setTouchBeganNote.arm64.tsv	mapped
0x32FBC6C	0x32FBE14	InGameManager	onJudgeNote	true	424	10	4	arm64/032fbc6c__InGameManager__onJudgeNote.arm64.tsv	mapped
0x3303FF0	0x33044FC	InGameOneFrameJudgementController	ReflectOneFrameData	true	1292	25	9	arm64/03303ff0__InGameOneFrameJudgementController__ReflectOneFrameData.arm64.tsv	mapped
0x3312A00	0x3312A80	InputManager	.ctor	true	128	10	4	arm64/03312a00__InputManager___ctor.arm64.tsv	mapped
0x3312AE4	0x3312B80	InputManager	ExecInput	true	156	1	0	arm64/03312ae4__InputManager__ExecInput.arm64.tsv	mapped
0x3312A80	0x3312AE4	InputManager	InitData	true	100	3	0	arm64/03312a80__InputManager__InitData.arm64.tsv	mapped
0x3313370	0x3313460	InputManager	inputButton	true	240	13	5	arm64/03313370__InputManager__inputButton.arm64.tsv	mapped
0x3312D20	0x3313090	InputManager	inputPlaying	true	880	44	7	arm64/03312d20__InputManager__inputPlaying.arm64.tsv	mapped
0x3A74CBC	0x3A74F1C	NoteBase	Deactivate	true	608	38	18	arm64/03a74cbc__NoteBase__Deactivate.arm64.tsv	mapped
0x3A75B1C	0x3A75B84	NoteBase	IsContainsButton	true	104	2	0	arm64/03a75b1c__NoteBase__IsContainsButton.arm64.tsv	mapped
